,Episode,Mean,Stddev
156, 156.00000,  -0.28937,   0.68638
157, 157.00000,   1.01947,   0.72688
158, 158.00000,  -0.73579,   0.78121
159, 159.00000,   1.73862,   1.17244
160, 160.00000,   1.78389,   1.25050
161, 161.00000,  -0.21021,   1.90226
162, 162.00000,   0.44342,   1.00454
163, 163.00000,  -0.00446,   1.15799
164, 164.00000,  -0.67325,   1.34599
165, 165.00000,   0.07025,   0.02080
166, 166.00000,   1.12266,   0.63448
167, 167.00000,  -0.81334,   0.72792
168, 168.00000,   1.15568,   1.45816
169, 169.00000,   0.53855,   0.70897
170, 170.00000,   2.08448,   0.74231
171, 171.00000,   0.94853,   0.74653
172, 172.00000,  -0.50517,   1.40670
173, 173.00000,  -0.39144,   1.83334
174, 174.00000,  -1.24977,   1.21876
175, 175.00000,   1.97204,   0.62749
176, 176.00000,  -0.24727,   1.86668
177, 177.00000,   0.16161,   1.20203
178, 178.00000,   0.15435,   2.02248
179, 179.00000,  -0.33077,   0.61998
180, 180.00000,   1.60628,   1.22716
181, 181.00000,  -0.76661,   0.75404
182, 182.00000,   0.70232,   0.69692
183, 183.00000,   0.23054,   0.07327
184, 184.00000,   0.40724,   1.28085
185, 185.00000,  -0.93323,   0.71168
186, 186.00000,   0.60249,   0.74591
187, 187.00000,   0.54128,   0.69674
188, 188.00000,   0.44484,   1.30387
189, 189.00000,  -0.46259,   1.82765
190, 190.00000,  -1.52211,   0.63903
191, 191.00000,  -0.70963,   0.72535
192, 192.00000,   1.46652,   0.53562
193, 193.00000,  -0.95742,   1.40630
194, 194.00000,  -0.28321,   0.70071
195, 195.00000,  -0.90027,   1.81359
196, 196.00000,  -0.25463,   0.70458
197, 197.00000,  -0.86851,   1.37404
198, 198.00000,   0.07628,   1.20061
199, 199.00000,   1.00873,   1.43477
200, 200.00000,   0.30340,   1.18966
201, 201.00000,   0.44414,   1.36440
202, 202.00000,   1.14107,   1.79789
203, 203.00000,  -0.88846,   1.39320
204, 204.00000,   0.05257,   1.14158
205, 205.00000,  -0.77119,   0.74495
206, 206.00000,  -0.03685,   1.19520
207, 207.00000,   0.01421,   1.20336
208, 208.00000,   0.01958,   1.16695
209, 209.00000,   0.99897,   0.72576
210, 210.00000,   0.30341,   1.18969
211, 211.00000,   1.70393,   1.27594
212, 212.00000,  -0.72393,   0.72462
213, 213.00000,  -1.32220,   1.22749
214, 214.00000,  -0.34203,   0.65682
215, 215.00000,   0.57397,   0.75580
216, 216.00000,  -0.69065,   0.63486
217, 217.00000,   0.27484,   1.15599
218, 218.00000,  -0.29843,   0.73845
219, 219.00000,  -1.21338,   1.22642
220, 220.00000,  -1.47199,   1.19655
221, 221.00000,   2.56436,   0.63229
222, 222.00000,  -1.52686,   1.19608
223, 223.00000,  -0.63038,   0.65918
224, 224.00000,   1.61224,   1.22354
225, 225.00000,  -0.47922,   0.70714
226, 226.00000,  -0.61354,   0.65374
227, 227.00000,  -0.98907,   0.68232
228, 228.00000,   0.05156,   1.17929
229, 229.00000,  -0.46679,   0.70755
230, 230.00000,  -1.88998,   0.70687
231, 231.00000,  -0.77253,   0.68211
232, 232.00000,   0.17439,   0.10836
233, 233.00000,   1.09593,   1.35308
234, 234.00000,   1.15782,   0.75501
235, 235.00000,   0.81042,   0.83572
236, 236.00000,  -0.18502,   1.80058
237, 237.00000,   0.15521,   1.22754
238, 238.00000,  -0.84476,   0.70299
239, 239.00000,   0.71722,   2.44166
240, 240.00000,  -0.77217,   0.69599
241, 241.00000,  -0.01496,   0.03443
242, 242.00000,  -0.43640,   0.71531
243, 243.00000,  -0.79810,   0.64570
244, 244.00000,  -0.36400,   0.73316
245, 245.00000,  -0.67693,   0.59727
246, 246.00000,   1.30531,   0.58652
247, 247.00000,  -0.89194,   1.87641
248, 248.00000,  -0.85333,   0.77853
249, 249.00000,  -0.25658,   0.70471
250, 250.00000,   1.49689,   1.22504
251, 251.00000,  -1.19682,   0.04276
252, 252.00000,   0.18635,   0.07632
253, 253.00000,  -0.45284,   0.71528
254, 254.00000,  -2.49815,   0.67462
255, 255.00000,   1.68565,   1.24471
256, 256.00000,   0.55506,   0.73201
257, 257.00000,   1.12139,   1.85804
258, 258.00000,  -1.41469,   1.21115
259, 259.00000,   1.68532,   0.11895
260, 260.00000,   1.39054,   0.70887
261, 261.00000,   1.01485,   1.33386
262, 262.00000,   0.12866,   1.21695
263, 263.00000,  -1.39357,   1.22690
264, 264.00000,   0.32075,   0.03232
265, 265.00000,  -0.64792,   0.64965
266, 266.00000,   0.57536,   1.41684
267, 267.00000,   0.51836,   0.70463
268, 268.00000,  -0.47054,   0.68586
269, 269.00000,  -0.05018,   0.06054
270, 270.00000,   0.65534,   1.35901
271, 271.00000,   0.24672,   1.19805
272, 272.00000,  -0.18861,   0.73491
273, 273.00000,  -0.50384,   1.34023
274, 274.00000,   0.64667,   1.83326
275, 275.00000,   1.41406,   0.03962
276, 276.00000,  -0.39551,   2.49079
277, 277.00000,  -0.81365,   1.88357
278, 278.00000,  -0.00048,   1.22332
279, 279.00000,   0.68918,   0.70885
280, 280.00000,   0.10420,   1.20727
281, 281.00000,   1.60642,   1.29346
282, 282.00000,   1.63705,   0.01750
283, 283.00000,  -0.34274,   0.72334
284, 284.00000,   1.16822,   0.67906
285, 285.00000,   1.14580,   1.40996
286, 286.00000,   0.50876,   0.72388
287, 287.00000,   0.75914,   0.71557
288, 288.00000,  -0.72407,   1.77105
289, 289.00000,   0.55484,   0.70043
290, 290.00000,  -0.51811,   1.35668
291, 291.00000,  -0.77795,   1.81530
292, 292.00000,   0.99848,   0.67093
293, 293.00000,  -0.15447,   1.94245
294, 294.00000,   0.17873,   1.21468
295, 295.00000,   0.20220,   1.19825
296, 296.00000,   0.21621,   1.20519
297, 297.00000,  -0.45873,   1.37699
298, 298.00000,   0.79256,   0.58893
299, 299.00000,  -0.81398,   1.81403
300, 300.00000,  -0.27002,   2.55710
301, 301.00000,  -0.18884,   0.76253
302, 302.00000,  -0.35347,   1.82284
303, 303.00000,  -0.02923,   2.07670
304, 304.00000,   1.77483,   1.18461
305, 305.00000,   0.13606,   1.20850
306, 306.00000,  -0.52277,   0.67581
307, 307.00000,   1.19976,   0.66845
308, 308.00000,  -0.68878,   1.38007
309, 309.00000,   0.48904,   1.42376
310, 310.00000,  -1.80689,   0.68781
311, 311.00000,   1.54245,   0.07433
312, 312.00000,   0.14886,   0.04376
313, 313.00000,  -1.32866,   1.18765
314, 314.00000,  -1.11099,   0.08728
315, 315.00000,   2.23261,   0.64510
316, 316.00000,  -0.37628,   0.67335
317, 317.00000,   0.33577,   0.12141
318, 318.00000,   1.25829,   0.59281
319, 319.00000,   0.06339,   0.02424
320, 320.00000,   0.15736,   1.15784
321, 321.00000,   1.05615,   0.65935
322, 322.00000,  -0.46061,   1.82067
323, 323.00000,  -1.27411,   0.10504
324, 324.00000,  -0.50936,   0.67766
325, 325.00000,   2.02738,   0.71587
326, 326.00000,   1.10890,   1.33585
327, 327.00000,  -0.89593,   0.71545
328, 328.00000,   0.67673,   0.65350
329, 329.00000,   0.17409,   1.12760
330, 330.00000,   0.11165,   0.11949
331, 331.00000,   0.82798,   0.69953
332, 332.00000,   0.09801,   1.21609
333, 333.00000,  -0.36985,   1.38050
334, 334.00000,   0.23663,   0.02594
335, 335.00000,   0.09308,   1.15157
336, 336.00000,   0.06931,   1.21724
337, 337.00000,   0.41500,   0.73469
338, 338.00000,   1.53763,   1.12983
339, 339.00000,  -0.71168,   0.67980
340, 340.00000,  -1.16752,   0.06173
341, 341.00000,  -0.94664,   1.39337
342, 342.00000,  -0.38823,   1.82554
343, 343.00000,   0.10339,   1.21631
344, 344.00000,  -0.21761,   0.71640
345, 345.00000,   0.74105,   0.63629
346, 346.00000,   0.59762,   0.61609
347, 347.00000,  -0.34562,   0.68163
348, 348.00000,  -0.15007,   0.56943
349, 349.00000,   1.03535,   0.69740
350, 350.00000,  -0.77865,   0.64869
351, 351.00000,  -0.40284,   0.68597
352, 352.00000,   0.18812,   1.29095
353, 353.00000,   0.46877,   1.41202
354, 354.00000,   0.40537,   0.13085
355, 355.00000,  -1.30009,   1.18334
356, 356.00000,   0.60278,   1.44979
357, 357.00000,   0.36529,   1.32884
358, 358.00000,  -1.36878,   0.04842
359, 359.00000,   0.67081,   0.79770
360, 360.00000,  -1.22602,   1.20430
361, 361.00000,   0.20923,   1.18654
362, 362.00000,  -1.05840,   0.66971
363, 363.00000,   0.76585,   0.68521
364, 364.00000,   0.09145,   1.16530
365, 365.00000,  -0.49403,   0.66314
366, 366.00000,  -0.32635,   1.49245
367, 367.00000,  -0.20741,   1.74310
368, 368.00000,   0.74248,   0.70545
369, 369.00000,   0.61108,   0.69678
370, 370.00000,  -0.77200,   0.69567
371, 371.00000,  -1.56966,   0.51278
372, 372.00000,  -0.74059,   1.38736
373, 373.00000,  -1.40036,   1.18690
374, 374.00000,   0.00836,   1.17359
375, 375.00000,   1.98322,   0.69290
376, 376.00000,   0.54969,   1.39054
377, 377.00000,   0.76171,   0.61517
378, 378.00000,   0.62997,   1.49134
379, 379.00000,   0.76482,   1.39450
380, 380.00000,   1.10786,   1.84330
381, 381.00000,  -0.16482,   0.63240
382, 382.00000,   0.01560,   1.20061
383, 383.00000,  -1.28164,   0.01946
384, 384.00000,  -0.35758,   0.68381
385, 385.00000,   0.76665,   0.74559
386, 386.00000,   0.04751,   1.18857
387, 387.00000,  -0.72535,   1.85150
