,Episode,Mean,Stddev
156, 156.00000,   1.10250,   1.00446
157, 157.00000,   0.03399,   1.47680
158, 158.00000,   0.34785,   1.67756
159, 159.00000,   0.89954,   1.50275
160, 160.00000,   0.83273,   1.29731
161, 161.00000,   0.18209,   1.77932
162, 162.00000,   0.33924,   1.08619
163, 163.00000,   0.51794,   1.50511
164, 164.00000,   0.24446,   1.19099
165, 165.00000,   0.22665,   1.39184
166, 166.00000,   0.26601,   1.60447
167, 167.00000,   0.06471,   1.37745
168, 168.00000,   0.56242,   1.16342
169, 169.00000,  -0.00778,   1.33494
170, 170.00000,  -0.20373,   1.84425
171, 171.00000,   0.73216,   1.36480
172, 172.00000,   0.15495,   1.24224
173, 173.00000,   0.41395,   0.90566
174, 174.00000,  -0.41875,   1.62907
175, 175.00000,   0.60340,   1.50720
176, 176.00000,   0.24429,   1.32934
177, 177.00000,  -0.45365,   1.38531
178, 178.00000,   0.46168,   1.10487
179, 179.00000,   0.97280,   1.54066
180, 180.00000,  -0.50317,   1.52081
181, 181.00000,   1.21736,   1.32137
182, 182.00000,   0.54436,   1.35427
183, 183.00000,   0.32284,   1.20953
184, 184.00000,   0.41121,   1.76352
185, 185.00000,   0.19132,   1.57582
186, 186.00000,   0.24150,   1.37396
187, 187.00000,   0.63881,   1.46304
188, 188.00000,   0.37578,   1.38137
189, 189.00000,   0.19311,   1.38137
190, 190.00000,  -0.24724,   1.61425
191, 191.00000,  -0.24041,   1.58414
192, 192.00000,  -0.48251,   1.68865
193, 193.00000,  -0.56526,   1.36825
194, 194.00000,  -0.07579,   1.68766
195, 195.00000,  -0.07148,   1.04634
196, 196.00000,  -0.64001,   1.61175
197, 197.00000,   0.11669,   1.13694
198, 198.00000,  -0.19249,   1.55968
199, 199.00000,   0.04125,   1.32457
200, 200.00000,   0.88231,   1.17517
201, 201.00000,   0.13569,   1.39702
202, 202.00000,   0.31261,   1.04955
203, 203.00000,  -0.30839,   1.18944
204, 204.00000,  -0.07609,   1.04342
205, 205.00000,   0.39748,   1.69397
206, 206.00000,  -0.04443,   1.12524
207, 207.00000,  -0.00969,   1.30563
208, 208.00000,   0.63201,   1.32824
209, 209.00000,   0.56749,   1.16589
210, 210.00000,   0.47145,   1.22406
211, 211.00000,  -0.33656,   0.92295
212, 212.00000,  -0.26153,   1.69835
213, 213.00000,  -0.13115,   0.91105
214, 214.00000,   0.37512,   1.56056
215, 215.00000,   0.63523,   1.63792
216, 216.00000,   0.47927,   1.39154
217, 217.00000,   1.00037,   2.09770
218, 218.00000,   0.06267,   1.52211
219, 219.00000,   0.55235,   1.58975
220, 220.00000,  -1.02525,   1.32272
221, 221.00000,   0.67485,   1.33126
222, 222.00000,   0.39141,   1.44762
223, 223.00000,   0.65460,   1.09229
224, 224.00000,   0.10550,   1.89967
